Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
19219277,San Pedro,Ternera,"""2021-07-29T00:00:00.000Z""",,,jotes,jotes,"""2021-08-17T00:00:00.000Z""",Diego,"""2021-08-24T00:00:00.000Z"""
12546571,San Pedro,Vaca,"""2016-07-10T00:00:00.000Z""",Parida,En Leche,Muerte,lengua de palo,"""2021-08-16T00:00:00.000Z""",Diego,"""2021-08-24T00:00:00.000Z"""
19219282,San Pedro,Ternero,"""2021-07-29T00:00:00.000Z""",,,coccidiosis,no responde a tratamiento,"""2021-08-11T00:00:00.000Z""",Diego,"""2021-08-24T00:00:00.000Z"""
19219873,San Pedro,Ternera,"""2021-07-31T00:00:00.000Z""",,,jotes,jotes,"""2021-08-10T00:00:00.000Z""",Diego,"""2021-08-24T00:00:00.000Z"""
19219260,San Pedro,Ternera,"""2021-07-27T00:00:00.000Z""",,,jotes,jotes,"""2021-08-06T00:00:00.000Z""",Diego,"""2021-08-24T00:00:00.000Z"""
21429642,San Pedro,Ternera,"""2021-08-04T00:00:00.000Z""",,,jotes,jotes,"""2021-08-09T00:00:00.000Z""",Diego,"""2021-08-09T00:00:00.000Z"""
4296918,San Pedro,Vaca,"""2013-09-15T00:00:00.000Z""",Preñada,En Leche,Muerte,vieja no responde a tratamiento,"""2021-08-09T00:00:00.000Z""",Diego,"""2021-08-09T00:00:00.000Z"""
19876121,Arriendo las quebradas ,Ternero,"""2020-09-15T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2021-08-02T00:00:00.000Z""",guentrepan,"""2021-08-02T00:00:00.000Z"""
18425941,feedlot,Novillo,"""2019-12-25T00:00:00.000Z""",,,Muerte,cae patio (descaderado),"""2021-08-02T00:00:00.000Z""",guentrepan,"""2021-08-02T00:00:00.000Z"""
15707586,feedlot,Novillo,"""2019-11-30T00:00:00.000Z""",,,Listeriosis,muerte,"""2021-07-26T00:00:00.000Z""",guentrepan,"""2021-07-26T00:00:00.000Z"""
20055856,San Pedro,Vaca,"""2013-09-15T00:00:00.000Z""",Preñada,En Leche,Muerte,Cólico (pansaso),"""2021-07-18T00:00:00.000Z""",Diego,"""2021-07-20T00:00:00.000Z"""
12688058,San Pedro,Vaca,"""2016-07-27T00:00:00.000Z""",Preñada,En Leche,Muerte,cae pozo,"""2021-07-16T00:00:00.000Z""",Diego,"""2021-07-20T00:00:00.000Z"""
18954424,Arriendo las quebradas ,Ternero,"""2020-08-15T00:00:00.000Z""",,,Muerte,Baja condición corporal,"""2021-07-17T00:00:00.000Z""",guentrepan,"""2021-07-19T00:00:00.000Z"""
18086520,San Pedro,Vaquilla,"""2019-09-07T00:00:00.000Z""",Preñada,,muerte,Hip lock,"""2021-07-16T00:00:00.000Z""",Diego,"""2021-07-16T00:00:00.000Z"""
18953885,feedlot,Novillo,"""2020-07-27T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2021-07-13T00:00:00.000Z""",guentrepan,"""2021-07-13T00:00:00.000Z"""
